,Apk,Result,Time,Mem(GB),Heuristic,#Snapshots,Mode,#Sources,#Sinks,#classes,#methods,#cg_edges,#flows,#additional flows,#missing flows,#TP,#FP,#TN,#FN,#unknown
195,com.threed.bowling,Exit status: 0,0:34,6.180450439453125,activity_last,2/21,i,4,3,1549,8916,2646,4,0,3,0,0,0,0,4
196,com.threed.bowling,Exit status: 0,1:57,13.983718872070312,action_all,21/21,d,4,5,1549,8916,3057,8,2,1,0,0,0,0,8
197,com.threed.bowling,Exit status: 0,1:49,14.047500610351562,action_all,21/21,sf,4,6,1549,8916,3193,9,3,1,0,0,0,0,9
198,com.threed.bowling,Exit status: 0,3:10,6.781581878662109,action_all,21/21,i,4,6,1549,8916,2646,7,3,3,0,0,0,0,7
199,com.facebook.lite,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
200,com.google.android.tts,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
201,com.cyworld.camera,Exit status: 0,1:09:57,77.74505615234375,none,0,full static,18,15,8808,49627,51749,34,0,0,0,0,0,0,34
202,com.cyworld.camera,Exit status: 0,35:48,76.33657455444336,first_only,1/69,d,12,12,8808,49626,32216,24,3,13,0,0,0,0,24
203,com.cyworld.camera,Exit status: 0,41:25,78.41379928588867,first_only,1/69,sf,16,17,8808,49627,42146,38,18,14,0,0,0,0,38
204,com.cyworld.camera,Exit status: 0,34:58,77.76988220214844,last_only,1/69,d,10,14,8808,49626,28426,21,5,18,0,0,0,0,21
205,com.cyworld.camera,Exit status: 0,38:36,76.93127822875977,last_only,1/69,sf,14,18,8808,49627,38459,39,22,17,0,0,0,0,39
206,com.cyworld.camera,Exit status: 0,40:27,79.05231475830078,activity_last,17/69,d,12,13,8808,49626,32379,31,10,13,0,0,0,0,31
207,com.cyworld.camera,Exit status: 0,45:50,79.99392318725586,activity_last,17/69,sf,15,18,8808,49626,39833,40,20,14,0,0,0,0,40
208,com.cyworld.camera,Exit status: 130,2:19:58,82.07408905029297,activity_last,17/69,i,11,13,0,0,26599,20,7,21,0,0,0,0,20
209,com.cyworld.camera,Exit status: 0,42:13,76.72893142700195,action_all,69/69,d,10,14,8808,49626,32726,26,9,17,0,0,0,0,26
210,com.cyworld.camera,Exit status: 0,47:03,77.74113845825195,action_all,69/69,sf,15,20,8808,49626,39019,47,25,12,0,0,0,0,47
211,com.cyworld.camera,Exit status: 130,2:20:01,83.2255630493164,action_all,69/69,i,11,15,0,0,28442,26,13,21,0,0,0,0,26
212,com.google.android.gms,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
213,com.alibaba.aliexpresshd,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
214,com.hp.android.printservice,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
215,com.h8games.helixjump,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
216,com.ebay.mobile,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
217,com.samsung.android.app.notes,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
218,com.dianxinos.dxbs,Exit status: 0,2:24:58,80.97415542602539,none,0,full static,46,51,12590,75294,103647,76,0,0,0,0,0,0,76
219,com.dianxinos.dxbs,Exit status: 0,16:09,42.02283477783203,first_only,1/62,d,11,7,12590,75288,42145,13,4,67,0,0,0,0,13
220,com.dianxinos.dxbs,Exit status: 0,1:44:29,80.01081466674805,first_only,1/62,sf,17,20,12590,75288,64525,32,12,56,0,0,0,0,32
221,com.dianxinos.dxbs,Exit status: 0,16:44,41.69414520263672,last_only,1/62,d,11,8,12590,75288,41600,14,5,67,0,0,0,0,14
222,com.dianxinos.dxbs,Exit status: 0,1:29:20,74.19905471801758,last_only,1/62,sf,17,16,12590,75289,66203,24,6,58,0,0,0,0,24
223,com.dianxinos.dxbs,Exit status: 0,2:29:58,83.12432861328125,activity_last,30/62,d,30,22,12590,75293,64705,43,24,57,0,0,0,0,43
224,com.dianxinos.dxbs,Exit status: 0,2:33:56,81.46969985961914,activity_last,30/62,sf,31,29,12590,75293,89065,46,15,45,0,0,0,0,46
225,com.dianxinos.dxbs,Exit status: 130,4:49:59,84.88597869873047,activity_last,30/62,i,28,23,0,0,48449,45,30,61,0,0,0,0,45
226,com.dianxinos.dxbs,Exit status: 0,2:19:22,80.72098159790039,action_all,62/62,d,27,25,12590,75293,65211,42,22,56,0,0,0,0,42
227,com.dianxinos.dxbs,Exit status: 0,2:42:31,82.83198165893555,action_all,62/62,sf,29,27,12590,75293,89485,39,10,47,0,0,0,0,39
228,com.dianxinos.dxbs,Exit status: 130,4:49:59,87.10736846923828,action_all,62/62,i,24,23,0,0,43579,34,17,59,0,0,0,0,34
229,com.dianxinos.optimizer.duplay,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
230,com.avast.android.mobilesecurity,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
231,kik.android,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
232,com.google.zxing.client.android,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
233,net.zedge.android,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
234,com.jio.myjio,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
235,com.king.candycrushsaga,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
236,com.sec.app.samsungprintservice,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
237,com.google.earth,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
238,com.ubercab,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
239,com.microsoft.office.word,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
240,com.dsi.ant.service.socket,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
241,com.kiloo.subwaysurf,Exit status: 0,23:37,34.196903228759766,none,0,full static,11,11,10628,65079,41058,24,0,0,0,0,0,0,24
242,com.kiloo.subwaysurf,Exit status: 0,0:28,2.6071510314941406,first_only,1/32,d,0,0,10628,65078,13316,0,0,24,0,0,0,0,0
243,com.kiloo.subwaysurf,Exit status: 0,1:15,7.3768463134765625,first_only,1/32,sf,6,8,10628,65078,30175,12,7,19,0,0,0,0,12
244,com.kiloo.subwaysurf,Exit status: 0,0:28,2.628742218017578,last_only,1/32,d,0,0,10628,65078,13331,0,0,24,0,0,0,0,0
245,com.kiloo.subwaysurf,Exit status: 0,1:13,7.313198089599609,last_only,1/32,sf,4,8,10628,65078,29652,9,5,20,0,0,0,0,9
246,com.kiloo.subwaysurf,Exit status: 0,0:38,4.867641448974609,activity_last,4/32,d,0,0,10628,65078,13355,0,0,24,0,0,0,0,0
247,com.kiloo.subwaysurf,Exit status: 0,1:21,7.539966583251953,activity_last,4/32,sf,5,8,10628,65078,29652,11,7,20,0,0,0,0,11
248,com.kiloo.subwaysurf,Exit status: 0,1:15,5.271472930908203,activity_last,4/32,i,0,0,10628,65078,13254,0,0,24,0,0,0,0,0
249,com.kiloo.subwaysurf,Exit status: 0,2:11,17.391067504882812,action_all,32/32,d,0,0,10628,65078,13355,0,0,24,0,0,0,0,0
250,com.kiloo.subwaysurf,Exit status: 0,2:42,17.77111053466797,action_all,32/32,sf,5,8,10628,65078,29652,11,7,20,0,0,0,0,11
251,com.kiloo.subwaysurf,Exit status: 0,7:54,5.576972961425781,action_all,32/32,i,0,0,10628,65078,13218,0,0,24,0,0,0,0,0
252,com.instagram.android,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
